Right Vastus lateralis~5,Right Biceps femoris caput longus~5,Right Gastrocnemius lateralis~5,Right Gluteus maximus~5,Right Rectus femoris~5
0.4163179916,0.08379888268,0.4772727273,0.1028571429,0.3787375415
0.4121338912,0.08379888268,0.4772727273,0.1028571429,0.3754152824
0.410041841,0.08379888268,0.4727272727,0.1028571429,0.3720930233
0.410041841,0.08379888268,0.4681818182,0.1028571429,0.3671096346
0.410041841,0.08379888268,0.4545454545,0.1085714286,0.3604651163
0.410041841,0.08379888268,0.4409090909,0.1085714286,0.3521594684
0.4121338912,0.08379888268,0.4227272727,0.1085714286,0.3438538206
0.4142259414,0.08379888268,0.4045454545,0.1142857143,0.3355481728
0.4184100418,0.08379888268,0.3818181818,0.1142857143,0.3255813953
0.4225941423,0.08659217877,0.3590909091,0.1142857143,0.3156146179
0.4246861925,0.08659217877,0.3363636364,0.1085714286,0.3056478405
0.4267782427,0.08659217877,0.3181818182,0.1085714286,0.2956810631
0.4288702929,0.08938547486,0.2954545455,0.1085714286,0.2873754153
0.4267782427,0.08938547486,0.2818181818,0.1028571429,0.2790697674
0.4246861925,0.08938547486,0.2681818182,0.1028571429,0.2724252492
0.4205020921,0.08938547486,0.2590909091,0.09714285714,0.2674418605
0.4142259414,0.08938547486,0.2545454545,0.09142857143,0.2641196013
0.4058577406,0.08938547486,0.2545454545,0.08571428571,0.2624584718
0.3953974895,0.08938547486,0.2545454545,0.08,0.2624584718
0.3828451883,0.08659217877,0.2636363636,0.07428571429,0.2641196013
0.3682008368,0.08659217877,0.2772727273,0.07428571429,0.2674418605
0.3556485356,0.08379888268,0.2954545455,0.06857142857,0.2724252492
0.3410041841,0.08379888268,0.3136363636,0.06285714286,0.2774086379
0.3263598326,0.08100558659,0.3363636364,0.05714285714,0.2823920266
0.3117154812,0.08100558659,0.3636363636,0.05714285714,0.2890365449
0.2991631799,0.0782122905,0.3909090909,0.05142857143,0.2956810631
0.2887029289,0.0782122905,0.4227272727,0.05142857143,0.3023255814
0.280334728,0.07541899441,0.45,0.05142857143,0.3089700997
0.2719665272,0.07541899441,0.4818181818,0.05142857143,0.3156146179
0.2656903766,0.07541899441,0.5045454545,0.04571428571,0.3205980066
0.2635983264,0.07262569832,0.5272727273,0.04571428571,0.3272425249
0.2635983264,0.07262569832,0.55,0.04571428571,0.3305647841
0.2635983264,0.07262569832,0.5636363636,0.04571428571,0.3338870432
0.2677824268,0.07262569832,0.5681818182,0.04571428571,0.3372093023
0.2719665272,0.07262569832,0.5727272727,0.04571428571,0.3388704319
0.2782426778,0.07262569832,0.5681818182,0.05142857143,0.3405315615
0.2866108787,0.07262569832,0.5590909091,0.05142857143,0.342192691
0.2949790795,0.07541899441,0.5409090909,0.05142857143,0.342192691
0.3012552301,0.07541899441,0.5181818182,0.05142857143,0.342192691
0.309623431,0.07541899441,0.4909090909,0.05142857143,0.3405315615
0.3179916318,0.0782122905,0.4636363636,0.04571428571,0.3372093023
0.3242677824,0.0782122905,0.4272727273,0.04571428571,0.3338870432
0.3284518828,0.08100558659,0.3954545455,0.04571428571,0.3305647841
0.3326359833,0.08100558659,0.3636363636,0.04571428571,0.3239202658
0.3347280335,0.08379888268,0.3318181818,0.04571428571,0.3172757475
0.3347280335,0.08659217877,0.3045454545,0.04571428571,0.3089700997
0.3326359833,0.08938547486,0.2818181818,0.04571428571,0.3006644518
0.3305439331,0.08938547486,0.2636363636,0.04571428571,0.2906976744
0.3263598326,0.09217877095,0.25,0.04571428571,0.280730897
0.320083682,0.09217877095,0.2454545455,0.04,0.2707641196
0.3138075314,0.09497206704,0.2454545455,0.04,0.2607973422
0.3075313808,0.09497206704,0.2545454545,0.04,0.2508305648
0.2991631799,0.09497206704,0.2681818182,0.04,0.2408637874
0.2928870293,0.09497206704,0.2863636364,0.04,0.2325581395
0.2845188285,0.09217877095,0.3045454545,0.04,0.2259136213
0.280334728,0.09217877095,0.3318181818,0.04,0.2209302326
0.2740585774,0.08938547486,0.3545454545,0.04,0.2176079734
0.2719665272,0.08659217877,0.3772727273,0.04,0.2176079734
0.269874477,0.08379888268,0.4,0.04,0.219269103
0.269874477,0.08100558659,0.4181818182,0.04,0.2225913621
0.269874477,0.0782122905,0.4363636364,0.04,0.2275747508
0.2719665272,0.07541899441,0.4454545455,0.04571428571,0.2358803987
0.2761506276,0.07262569832,0.45,0.04571428571,0.2441860465
0.280334728,0.06983240223,0.45,0.04571428571,0.2541528239
0.2866108787,0.06703910615,0.4454545455,0.04571428571,0.2641196013
0.2907949791,0.06424581006,0.4318181818,0.04571428571,0.2740863787
0.2949790795,0.06424581006,0.4227272727,0.04571428571,0.2840531561
0.2991631799,0.06145251397,0.4045454545,0.04571428571,0.2940199336
0.3033472803,0.06145251397,0.3863636364,0.04,0.3006644518
0.3033472803,0.06145251397,0.3681818182,0.04,0.3073089701
0.3033472803,0.06424581006,0.35,0.04,0.3106312292
0.3033472803,0.06424581006,0.3318181818,0.04,0.3106312292
0.2991631799,0.06703910615,0.3181818182,0.04,0.3106312292
0.2949790795,0.06703910615,0.3045454545,0.04,0.3073089701
0.2907949791,0.06983240223,0.2954545455,0.04,0.3023255814
0.2824267782,0.07262569832,0.2909090909,0.04,0.2956810631
0.2761506276,0.07262569832,0.2863636364,0.04,0.2873754153
0.2677824268,0.07541899441,0.2863636364,0.03428571429,0.2774086379
0.2573221757,0.0782122905,0.2909090909,0.03428571429,0.2657807309
0.2489539749,0.0782122905,0.2954545455,0.03428571429,0.2541528239
0.2405857741,0.0782122905,0.3090909091,0.03428571429,0.2425249169
0.2322175732,0.08100558659,0.3181818182,0.03428571429,0.23089701
0.2259414226,0.08100558659,0.3318181818,0.03428571429,0.219269103
0.219665272,0.0782122905,0.35,0.03428571429,0.2093023256
0.2154811715,0.0782122905,0.3681818182,0.03428571429,0.1976744186
0.2133891213,0.0782122905,0.3863636364,0.03428571429,0.1893687708
0.2112970711,0.07541899441,0.4090909091,0.03428571429,0.1810631229
0.2112970711,0.07541899441,0.4272727273,0.03428571429,0.1727574751
0.2112970711,0.07541899441,0.45,0.03428571429,0.1661129568
